"","TimeFac","PEFFmean","Culturemean","culturegroup"
"1","Baseline",6.611,4.85,"Lower"
"2","Baseline",8.167,4.45,"Lower"
"3","Baseline",4.889,4.3,"Lower"
"4","Baseline",7.944,5.2,"Higher"
"5","Baseline",7.667,4.25,"Lower"
"6","Baseline",8.778,4.45,"Lower"
"7","Baseline",7.056,2.6,"Lower"
"8","Baseline",8.222,4.57894736842105,"Lower"
"9","Baseline",5.5,3.9,"Lower"
"10","Baseline",7.333,4.85,"Lower"
"11","Baseline",7.944,4.55,"Lower"
"12","Baseline",6,4.25,"Lower"
"13","Baseline",6.5,3.2,"Lower"
"14","Baseline",5.833,4.55,"Lower"
"15","Baseline",8.722,4.15,"Lower"
"16","Baseline",4.944,3.3,"Lower"
"17","Baseline",7,5.2,"Higher"
"18","Baseline",7.944,5.35,"Higher"
"19","Baseline",8.389,5.5,"Higher"
"20","Baseline",7.706,5.15,"Higher"
"21","Baseline",5.667,4.35,"Lower"
"22","Baseline",6.833,3.35,"Lower"
"23","Baseline",4.778,2.75,"Lower"
"24","June 2017",8,6,"Higher"
"25","June 2017",8,4.45,"Lower"
"26","June 2017",8.333,6,"Higher"
"27","June 2017",6.222,6,"Higher"
"28","June 2017",7.588,5.3,"Higher"
"29","June 2017",6.944,3.3,"Lower"
"30","June 2017",7.333,4.75,"Lower"
"31","June 2017",3.222,5.1,"Higher"
"32","June 2017",7.5,4.7,"Lower"
"33","June 2017",7.278,5.1,"Higher"
"34","June 2017",6.944,4.25,"Lower"
"35","June 2017",7.278,5.5,"Higher"
"36","June 2017",8.222,4.15,"Lower"
"37","June 2017",6.611,3.8,"Lower"
"38","June 2017",9,4.8,"Lower"
"39","June 2017",8.588,5.6,"Higher"
"40","June 2017",7.889,6,"Higher"
"41","June 2017",8.333,5.25,"Higher"
"42","June 2017",5.667,3.85,"Lower"
"43","June 2017",7.5,5.3,"Higher"
"44","June 2017",7.833,3.35,"Lower"
"45","June 2017",5.556,4.3,"Lower"
"46","June 2017",6.556,5.4,"Higher"
"47","June 2017",8.167,5.3,"Higher"
"48","June 2018",8,5.5,"Higher"
"49","June 2018",7.88888888888889,6,"Higher"
"50","June 2018",6.88888888888889,4.25,"Lower"
"51","June 2018",6.72222222222222,5.9,"Higher"
"52","June 2018",6.83333333333333,5.6,"Higher"
"53","June 2018",6.88888888888889,5.1,"Higher"
"54","June 2018",7.22222222222222,5.5,"Higher"
"55","June 2018",5.72222222222222,5.4,"Higher"
"56","June 2018",6.61111111111111,5.5,"Higher"
"57","June 2018",6.83333333333333,5.9,"Higher"
"58","June 2018",6.83333333333333,4.65,"Lower"
"59","June 2018",8,6,"Higher"
"60","June 2018",8,5.7,"Higher"
"61","June 2018",6.55555555555556,4.25,"Lower"
"62","June 2018",6.83333333333333,5,"Lower"
"63","June 2018",7.83333333333333,6,"Higher"
"64","June 2018",6.83333333333333,5.45,"Higher"
"65","June 2018",5.70588235294118,6,"Higher"
"66","June 2018",7.16666666666667,4.95,"Lower"
"67","June 2018",6.66666666666667,5.4,"Higher"
"68","June 2018",6.16666666666667,4.15,"Lower"
"69","June 2018",6,5.5,"Higher"
"70","October 2017",7.778,4.85,"Lower"
"71","October 2017",8.222,5.8,"Higher"
"72","October 2017",5.611,3.7,"Lower"
"73","October 2017",7.389,5.5,"Higher"
"74","October 2017",7.222,4.25,"Lower"
"75","October 2017",6,5.4,"Higher"
"76","October 2017",7.611,5,"Lower"
"77","October 2017",8.5,5.9,"Higher"
"78","October 2017",7.111,4.9,"Lower"
"79","October 2017",6.278,4.25,"Lower"
"80","October 2017",8.278,4.4,"Lower"
"81","October 2017",8.778,5.9,"Higher"
"82","October 2017",8.889,5.8,"Higher"
"83","October 2017",6.056,3.6,"Lower"
"84","October 2017",7,6,"Higher"
"85","October 2017",8.222,5.3,"Higher"
"86","October 2017",7.722,5.6,"Higher"
"87","October 2017",5.889,4.55,"Lower"
"88","October 2017",7.444,2.9,"Lower"
"89","October 2017",6.5,5.2,"Higher"
"90","October 2017",5,5.4,"Higher"
